Area,Date,Hour,Trip_forecast,Latitude,Longitude
102,4/1/2021,0,19.44859816,25.11229341,55.20495907
102,4/2/2021,0,30.21487311,25.11229341,55.20495907
102,4/3/2021,0,29.37234552,25.11229341,55.20495907
102,4/4/2021,0,24.66532263,25.11229341,55.20495907
102,4/5/2021,0,20.56180756,25.11229341,55.20495907
102,4/6/2021,0,21.66294233,25.11229341,55.20495907
102,4/7/2021,0,21.09850415,25.11229341,55.20495907
102,4/8/2021,0,19.95365942,25.11229341,55.20495907
102,4/9/2021,0,30.71993438,25.11229341,55.20495907
102,4/10/2021,0,29.87740679,25.11229341,55.20495907
102,4/11/2021,0,25.17038389,25.11229341,55.20495907
102,4/12/2021,0,21.06686883,25.11229341,55.20495907
102,4/13/2021,0,22.16800359,25.11229341,55.20495907
102,4/14/2021,0,21.60356541,25.11229341,55.20495907
102,4/1/2021,1,18.15495901,25.11229341,55.20495907
102,4/2/2021,1,28.67916888,25.11229341,55.20495907
102,4/3/2021,1,25.70323303,25.11229341,55.20495907
102,4/4/2021,1,17.72216857,25.11229341,55.20495907
102,4/5/2021,1,15.99956397,25.11229341,55.20495907
102,4/6/2021,1,16.74436446,25.11229341,55.20495907
102,4/7/2021,1,18.64660717,25.11229341,55.20495907
102,4/8/2021,1,18.01772016,25.11229341,55.20495907
102,4/9/2021,1,28.54193002,25.11229341,55.20495907
102,4/10/2021,1,25.56599417,25.11229341,55.20495907
102,4/11/2021,1,17.58492972,25.11229341,55.20495907
102,4/12/2021,1,15.86232511,25.11229341,55.20495907
102,4/13/2021,1,16.60712561,25.11229341,55.20495907
102,4/14/2021,1,18.50936832,25.11229341,55.20495907
102,4/1/2021,2,6.524544057,25.11229341,55.20495907
102,4/2/2021,2,15.19906242,25.11229341,55.20495907
102,4/3/2021,2,9.616525338,25.11229341,55.20495907
102,4/4/2021,2,5.114396699,25.11229341,55.20495907
102,4/5/2021,2,5.711223696,25.11229341,55.20495907
102,4/6/2021,2,4.307386504,25.11229341,55.20495907
102,4/7/2021,2,4.567680323,25.11229341,55.20495907
102,4/8/2021,2,5.108797014,25.11229341,55.20495907
102,4/9/2021,2,13.78331537,25.11229341,55.20495907
102,4/10/2021,2,8.200778295,25.11229341,55.20495907
102,4/11/2021,2,3.698649656,25.11229341,55.20495907
102,4/12/2021,2,4.295476653,25.11229341,55.20495907
102,4/13/2021,2,2.891639461,25.11229341,55.20495907
102,4/14/2021,2,3.15193328,25.11229341,55.20495907
102,4/1/2021,3,5.109383675,25.11229341,55.20495907
102,4/2/2021,3,9.830513835,25.11229341,55.20495907
102,4/3/2021,3,7.172663269,25.11229341,55.20495907
102,4/4/2021,3,5.196905932,25.11229341,55.20495907
102,4/5/2021,3,5.002556246,25.11229341,55.20495907
